X,Y,OBJECTID_1,UniqueID,CompAddNum,CompStreetName,CompSubAddress,CompCityStateZip,StreetAddress,MainAddress,CompleteAddress,FeatureType,Alternate,Residential,Mailable,MainPoint,Anomaly,AnomalyType,Status,Authority,Landmark,ParcelNumber,ProprietaryID,AddNumPre,AddNum,AddNumPost,StreetPreDir,ImpliedPreDir,StreetPreType,StreetName,StreetPostType,StreetPostDir,StreetPostMod,SubAddType1,SubNumber1,SubAddType2,SubNumber2,SubAddType3,SubNumber3,City,ZipCode,ZipPlus4,UIUC,StatePlaneX,StatePlaneY
-88.248124525796,40.1066613251664,4766,36169,802,S Prairie St,,"Champaign, IL 61820",802 S Prairie St,"802 S Prairie St, Champaign, IL 61820","802 S Prairie St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254001,M4759,,802,,South,South,,Prairie,Street,,,,,,,,,Champaign,61820,,,1008086.19165241,1252772.67033807
-88.2481194794595,40.1065085194812,4767,36170,804,S Prairie St,,"Champaign, IL 61820",804 S Prairie St,"804 S Prairie St, Champaign, IL 61820","804 S Prairie St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254002,M4760,,804,,South,South,,Prairie,Street,,,,,,,,,Champaign,61820,,,1008087.6565445,1252717.00706358
-88.2481382632458,40.1063770302222,4768,36171,806,S Prairie St,,"Champaign, IL 61820",806 S Prairie St,"806 S Prairie St, Champaign, IL 61820","806 S Prairie St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254003,M4761,,806,,South,South,,Prairie,Street,,,,,,,,,Champaign,61820,,,1008082.44821117,1252669.10254677
-88.248125107769,40.1061948788767,4769,36172,808,S Prairie St,,"Champaign, IL 61820",808 S Prairie St,"808 S Prairie St, Champaign, IL 61820","808 S Prairie St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254004,M4762,,808,,South,South,,Prairie,Street,,,,,,,,,Champaign,61820,,,1008086.19165241,1252602.75138658
-88.2481148395658,40.1060300072551,4770,36173,810,S Prairie St,,"Champaign, IL 61820",810 S Prairie St,"810 S Prairie St, Champaign, IL 61820","810 S Prairie St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254005,M4763,,810,,South,South,,Prairie,Street,,,,,,,,,Champaign,61820,,,1008089.12143658,1252542.69409199
-88.2478375299623,40.1066069419416,4771,36174,311,William St,,"Champaign, IL 61820",311 William St,"311 William St, Champaign, IL 61820","311 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254006,M4764,,311,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008166.489064,1252752.93645366
-88.2476509231476,40.1066057223997,4772,36175,309,William St,,"Champaign, IL 61820",309 William St,"309 William St, Champaign, IL 61820","309 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254007,M4765,,309,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008218.68712233,1252752.54242557
-88.2474933158842,40.1066066873555,4773,36176,307,William St,,"Champaign, IL 61820",307 William St,"307 William St, Champaign, IL 61820","307 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254008,M4766,,307,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008262.77266408,1252752.93645366
-88.2472881743689,40.1066105564372,4774,36177,305,William St,,"Champaign, IL 61820",305 William St,"305 William St, Champaign, IL 61820","305 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254009,M4767,,305,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008320.15345483,1252754.40134574
-88.2478500909561,40.1060650005217,4775,36178,312,Charles St,,"Champaign, IL 61820",312 Charles St,"312 Charles St, Champaign, IL 61820","312 Charles St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254010,M4768,,312,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008163.16525175,1252555.5126359
-88.2476582329182,40.1060772693924,4776,36179,310,Charles St,,"Champaign, IL 61820",310 Charles St,"310 Charles St, Champaign, IL 61820","310 Charles St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254011,M4769,,310,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008216.82787408,1252560.03362424
-88.2474906738365,40.1060650814484,4777,36180,308,Charles St,,"Champaign, IL 61820",308 Charles St,"308 Charles St, Champaign, IL 61820","308 Charles St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254012,M4770,,308,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008263.70212416,1252555.63894799
-88.2473126116982,40.1060770132292,4778,36181,306,Charles St,,"Champaign, IL 61820",306 Charles St,"306 Charles St, Champaign, IL 61820","306 Charles St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254013,M4771,,306,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008313.50583033,1252560.03362424
-88.24704578114,40.1066444413857,4779,36182,801,S State St,,"Champaign, IL 61820",801 S State St,"801 S State St, Champaign, IL 61820","801 S State St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254014,M4772,,801,,South,South,,State,Street,,,,,,,,,Champaign,61820,,,1008387.94367358,1252766.81076974
-88.2469971891081,40.1064718281631,4780,36183,803,S State St,,"Champaign, IL 61820",803 S State St,"803 S State St, Champaign, IL 61820","803 S State St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254015,M4773,,803,,South,South,,State,Street,,,,,,,,,Champaign,61820,,,1008401.5968615,1252703.94376949
